,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,7394.3330491290835,3190.2155592056065,1464.9679048872842,630.7611616264214,188.83738931014454,-56.5912393127694,-194.47220986521836,-269.6211568267636,-306.4275398054841,-318.97727794048023,-315.79669055120786,-302.2453515038106,-281.7971996219332,-256.76111174534816,-228.70335311126985,-198.70414749791306,-167.51830918736496,-135.67849856923553,-103.56314447139036,-71.44203968429966
11,7815.243067154739,3414.991471198597,1604.4982230757707,725.7289844434597,257.6234990916121,-4.482694557192644,-153.6368117176071,-236.7603184817675,-279.4144702041932,-296.3793427073956,-296.61369389582825,-285.7578822647414,-267.47459461606445,-244.2033831083844,-217.603308074579,-188.82195989988617,-158.66401651751696,-127.69968547811698,-96.33610444726375,-64.86532065264879
12,8251.633524576971,3648.0343042302925,1749.1602571707438,824.1895813993508,328.9394588604782,49.542324348645934,-111.29954885025268,-202.6909077703865,-251.40790040340642,-272.9502892973085,-276.7251753843492,-268.6640286265658,-252.625225671826,-231.18380003983685,-206.0950200236311,-178.5763202582742,-149.48407623842917,-119.42742360406606,-88.84326472648252,-58.04671975542641
13,8703.50442139585,3889.344058300728,1898.9540071722265,926.1429524941102,402.7852686167548,105.48381740475543,-67.46042126314842,-167.4129246926152,-222.4078304031193,-248.6901177102152,-256.1311350167675,-250.96379058928125,-237.24909278921552,-217.70236253970342,-194.17848895842434,-167.96722857307554,-139.97848835010012,-110.86171294708146,-81.0846253090454,-50.98623699263143
14,9170.855757611294,4138.920733409865,2053.879473080193,1031.5890977277197,479.16092836042867,163.3417846111256,-22.119428956302045,-130.92636924845954,-192.414260203337,-223.59882794612008,-234.8315727930867,-232.65716815289068,-221.34619596823563,-203.75907060798636,-181.8537148789609,-156.99468484429195,-130.14725285253147,-102.00255350716466,-73.06018619495384,-43.68387236426511
15,9653.687533223389,4396.764329557744,2213.936654894671,1140.528017100199,558.0664380915136,223.11622596776715,24.72342807029463,-93.23124143791313,-161.42718980405402,-197.6764200050186,-212.82648871330298,-213.74416131739082,-204.91653520888354,-189.35392424468336,-169.12069778523846,-145.65868907192163,-119.99036974572147,-92.84994528431409,-64.76994738420632,-36.13962587032614
16,10151.9997482321,4662.874846744347,2379.1255526156483,1252.959710611539,639.5017978100034,284.8071414746753,73.0681498166382,-54.32754126097882,-129.4466192052729,-170.92289388691268,-190.11588277741816,-194.22477008278315,-187.96011051116045,-174.48692344979543,-155.97943767725798,-133.9592412559653,-109.50783902967089,-83.40388827853042,-56.213908876803515,-28.353497510815032
17,10665.792402637393,4937.25228496966,2549.446166243115,1368.8841782617335,723.4670075158936,348.4145311318464,122.9147362827257,-14.215268717658887,-96.47254840699532,-143.3382495918039,-166.6997549854334,-174.09899444906887,-170.47692187506738,-159.15806822332343,-142.42993455502034,-121.89634139642374,-98.69966070438034,-73.66438248981422,-47.39207067274589,-20.325487285732322
18,11195.065496439302,5219.896644233697,2724.898495777081,1488.301420050789,809.9620672091885,413.9383949392843,174.26318746855986,27.10557619204883,-62.50497740921958,-114.9224871196908,-142.57810533734744,-153.36683441624677,-152.46696930060335,-143.3673585652665,-128.4721884185247,-109.46998949329623,-87.56583476984918,-63.631427918164945,-38.30443277203298,-12.055595195077501
19,11739.819029637838,5510.807924536464,2905.4825412175505,1611.2114359787086,898.9869768898909,481.37873289699064,227.11350337414206,69.6349934681457,-27.543906211944545,-85.67560647057246,-117.75093383315959,-132.0282899843162,-133.93025278776787,-127.1147944756242,-114.1061992677707,-96.68018554658244,-76.10636122607718,-53.30502456358232,-28.95099517466454,-3.54382123885037
